Users,Breed,Age,Training,Rating,Difficulty Level,Dog Response,Duration Preferences
314,Shih Tzu,3,Off Leash Sit,3.7,Advanced,Confident Learner,Multiple Short Sessions per Day
315,Rottweiler,20,Roll Over,2.3,Basic,Focused but Distractible,No strict preference
316,Golden Retriever,10,Loose Leash Walking,5,Advanced,Shy or Timid,Long Sessions
317,German Shepherd,19,Long Stay Off Leash,5,Intermediate,Focused but Distractible,Medium Sessions
318,Chihuahua,6,On and Off Sight Stay,4.2,Advanced,Very Responsive to Treats,Multiple Short Sessions per Day
319,Siberian Husky,18,Off Leash Down Stay,3.1,Basic,Very Responsive,Short Sessions
320,German Shepherd,21,Off Leash Sit,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
321,Dalmatian,16,Off Leash Down Stay,3,Basic,Very Responsive,Medium Sessions
322,Beagle,6,Off Leash Sit Stay,3,Advanced,Very Responsive to Treats,Medium Sessions
323,Dalmatian,15,Heel,4,Intermediate,Shy or Timid,Medium Sessions
324,Pomeranian,3,Off Leash Sit Stay,3.3,Advanced,Working on Tricks,Multiple Short Sessions per Day
325,Shih Tzu,20,Down Stay,4.3,Basic,Focused but Distractible,Multiple Short Sessions per Day
326,Beagle,10,Off Leash Sit Stay,2.9,Advanced,Working on Tricks,Multiple Short Sessions per Day
327,Siberian Husky,19,Shake Hands,4,Advanced,Focused but Distractible,Multiple Short Sessions per Day
328,Dalmatian,6,On and Off Sight Stay,3.7,Advanced,Confident Learner,Long Sessions
329,Pomeranian,18,Off Leash Down,2.3,Intermediate,Shy or Timid,Multiple Short Sessions per Day
330,Aspin,21,Off Leash Commands,5,Intermediate,Confident Learner,Multiple Short Sessions per Day
331,Doberman Pinscher,16,Off Leash Commands,5,Advanced,Focused but Distractible,No strict preference
332,Pomeranian,8,Loose Leash Heeling,4.2,Advanced,Very Responsive,Long Sessions
333,German Shepherd,10,Watch Me,3.1,Advanced,Very Responsive,Multiple Short Sessions per Day
334,Shih Tzu,20,Long Stay Off Leash,5,Advanced,Working on Tricks,Long Sessions
335,Dalmatian,19,Loose Leash Commands,4.2,Advanced,Confident Learner,Short Sessions
336,German Shepherd,18,Off Leash Down Stay,3.1,Advanced,Working on Tricks,Long Sessions
337,Shih Tzu,19,Fetch,1,Basic,Shy or Timid,Medium Sessions
338,Labrador Retriever,19,Down Stay,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
339,Labrador Retriever,18,Off Leash Sit,3.3,Basic,Working on Tricks,Short Sessions
340,Beagle,5,Long Stay Off Leash,4.3,Advanced,Confident Learner,No strict preference
341,Labrador Retriever,22,Loose Leash Commands,2.9,Intermediate,Very Responsive to Treats,Medium Sessions
342,Doberman Pinscher,3,Off Leash Sit Stay,4,Advanced,Focused but Distractible,Medium Sessions
343,Beagle,21,Off Leash Commands,3.7,Advanced,Focused but Distractible,Medium Sessions
344,Rottweiler,11,Off Leash Down,2.3,Advanced,Confident Learner,Long Sessions
345,Pomeranian,20,Off Leash Down,5,Advanced,Focused but Distractible,Long Sessions
346,Golden Retriever,13,Sit,5,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
347,Bulldog,19,Off Leash Sit,4.2,Basic,Needs More Guidance,Medium Sessions
348,Shih Tzu,15,Off Leash Sit,3.1,Advanced,Quick Learner,Multiple Short Sessions per Day
349,Doberman Pinscher,12,Sit,2,Intermediate,Quick Learner,Long Sessions
350,Doberman Pinscher,6,Fetch,3,Advanced,Very Responsive,No strict preference
351,Pug,21,Off Leash Down Stay,4,Intermediate,Quick Learner,No strict preference
352,Beagle,11,Play Dead,4,Basic,Working on Tricks,Multiple Short Sessions per Day
353,Bulldog,21,Off Leash Sit,5,Advanced,Confident Learner,No strict preference
354,Doberman Pinscher,12,Heel,5,Advanced,Quick Learner,Long Sessions
355,Dalmatian,4,On and Off Sight Stay,2,Intermediate,Needs More Guidance,No strict preference
356,Labrador Retriever,23,Sit,3.3,Advanced,Confident Learner,No strict preference
357,Chihuahua,14,Off Leash Sit Stay,4.3,Advanced,Focused but Distractible,Multiple Short Sessions per Day
358,Dalmatian,7,Shake Hands,2.9,Advanced,Confident Learner,Medium Sessions
359,Pomeranian,17,Long Stay Off Leash,4,Advanced,Working on Tricks,No strict preference
360,Aspin,20,Sit Stay,3.7,Basic,Very Responsive,Multiple Short Sessions per Day
361,Pug,15,Long Stay Off Leash,2.3,Advanced,Working on Tricks,Multiple Short Sessions per Day
362,Labrador Retriever,17,Off Leash Down Stay,5,Intermediate,Focused but Distractible,Medium Sessions
363,German Shepherd,6,Off Leash Sit,5,Advanced,Focused but Distractible,Long Sessions
364,Beagle,15,Roll Over,4.2,Basic,Very Responsive,Long Sessions
365,Chihuahua,3,Loose Leash Walking,3.1,Advanced,Working on Tricks,Long Sessions
366,Labrador Retriever,20,Long Stay Off Leash,3,Basic,Focused but Distractible,Medium Sessions
367,Golden Retriever,10,On and Off Sight Stay,4,Advanced,Very Responsive,Short Sessions
368,Pomeranian,19,Off Leash Down Stay,2,Intermediate,Focused but Distractible,No strict preference
369,Chihuahua,6,Off Leash Sit,3,Advanced,Focused but Distractible,No strict preference
370,Rottweiler,18,Off Leash Down Stay,3,Basic,Confident Learner,Long Sessions
371,German Shepherd,21,Off Leash Sit Stay,3.6,Advanced,Confident Learner,Short Sessions
372,Aspin,16,Heel,4.7,Advanced,Focused but Distractible,Short Sessions
373,Golden Retriever,8,Off Leash Sit Stay,4.6,Advanced,Shy or Timid,Short Sessions
374,Beagle,10,Down Stay,5,Intermediate,Focused but Distractible,Short Sessions
375,Pug,20,Off Leash Sit Stay,2,Intermediate,Very Responsive to Treats,Long Sessions
376,Pomeranian,19,Shake Hands,5,Advanced,Very Responsive,Short Sessions
377,Aspin,18,On and Off Sight Stay,5,Advanced,Needs More Guidance,No strict preference
378,Doberman Pinscher,19,Off Leash Down,2,Advanced,Very Responsive,Short Sessions
379,Pomeranian,19,Off Leash Commands,5,Advanced,Very Responsive to Treats,Multiple Short Sessions per Day
380,German Shepherd,18,Off Leash Commands,4,Advanced,Shy or Timid,Short Sessions
381,Shih Tzu,5,Loose Leash Heeling,4,Advanced,Working on Tricks,Short Sessions
382,Dalmatian,22,Watch Me,2,Basic,Focused but Distractible,Medium Sessions
383,German Shepherd,3,Long Stay Off Leash,3,Advanced,Focused but Distractible,Multiple Short Sessions per Day
384,Shih Tzu,21,Loose Leash Commands,4,Basic,Focused but Distractible,Long Sessions
385,Labrador Retriever,11,Off Leash Down Stay,4,Advanced,Needs More Guidance,Medium Sessions
386,Labrador Retriever,20,Fetch,3,Intermediate,Quick Learner,No strict preference
387,Beagle,6,Down Stay,3,Advanced,Quick Learner,No strict preference
388,Labrador Retriever,15,Off Leash Sit,4,Advanced,Very Responsive,No strict preference
389,Doberman Pinscher,3,Long Stay Off Leash,4.3,Advanced,Quick Learner,No strict preference
390,Beagle,6,Loose Leash Commands,2.9,Advanced,Working on Tricks,Multiple Short Sessions per Day
391,Rottweiler,15,Off Leash Sit Stay,4,Intermediate,Confident Learner,Medium Sessions
392,Pomeranian,3,Off Leash Commands,3.7,Basic,Quick Learner,Long Sessions
393,Golden Retriever,20,Off Leash Down,2.3,Advanced,Needs More Guidance,Multiple Short Sessions per Day
394,Bulldog,10,Off Leash Down,5,Intermediate,Confident Learner,Medium Sessions
395,Shih Tzu,19,Sit,5,Advanced,Focused but Distractible,Long Sessions
396,Doberman Pinscher,6,Off Leash Sit,4.2,Intermediate,Confident Learner,Long Sessions
397,Doberman Pinscher,18,Off Leash Sit,3.1,Basic,Working on Tricks,Short Sessions
398,Pug,21,Sit,3,Advanced,Very Responsive,No strict preference
399,Beagle,16,Fetch,4,Advanced,Working on Tricks,Medium Sessions
400,Bulldog,8,Off Leash Down Stay,2,Intermediate,Focused but Distractible,Medium Sessions
401,Doberman Pinscher,10,Play Dead,3,Advanced,Focused but Distractible,Multiple Short Sessions per Day
402,Dalmatian,20,Off Leash Sit,3,Advanced,Very Responsive,Multiple Short Sessions per Day
403,Labrador Retriever,19,Heel,3.6,Advanced,Working on Tricks,Multiple Short Sessions per Day
404,Chihuahua,18,On and Off Sight Stay,4.7,Advanced,Focused but Distractible,Short Sessions
405,Dalmatian,19,Sit,4.6,Basic,Very Responsive,Multiple Short Sessions per Day
406,Pomeranian,19,Off Leash Sit Stay,3,Advanced,Focused but Distractible,Long Sessions
407,Aspin,18,Shake Hands,2,Intermediate,Focused but Distractible,Medium Sessions
408,Pug,5,Long Stay Off Leash,4.3,Advanced,Confident Learner,No strict preference
409,Labrador Retriever,22,Sit Stay,2.9,Basic,Confident Learner,Short Sessions
410,German Shepherd,3,Long Stay Off Leash,4,Advanced,Focused but Distractible,Long Sessions
411,Beagle,21,Off Leash Down Stay,3.7,Basic,Shy or Timid,Short Sessions
412,Chihuahua,11,Off Leash Sit,2.3,Advanced,Focused but Distractible,Multiple Short Sessions per Day
413,Labrador Retriever,20,Roll Over,5,Intermediate,Focused but Distractible,Long Sessions
414,Golden Retriever,13,Loose Leash Walking,5,Advanced,Needs More Guidance,Medium Sessions
415,Pomeranian,19,Long Stay Off Leash,4.2,Basic,Quick Learner,Multiple Short Sessions per Day
416,Chihuahua,15,On and Off Sight Stay,3.1,Advanced,Quick Learner,No strict preference
417,Rottweiler,12,Off Leash Down Stay,3,Advanced,Very Responsive,Long Sessions
418,German Shepherd,6,Off Leash Sit,4,Advanced,Quick Learner,Medium Sessions
419,Aspin,21,Off Leash Down Stay,2,Basic,Working on Tricks,Multiple Short Sessions per Day
420,Golden Retriever,11,Off Leash Sit Stay,3,Advanced,Confident Learner,Short Sessions
421,Beagle,21,Heel,3,Basic,Quick Learner,Multiple Short Sessions per Day
422,Pug,12,Off Leash Sit Stay,3.6,Advanced,Needs More Guidance,Medium Sessions
423,Pomeranian,6,Down Stay,4.7,Intermediate,Confident Learner,Medium Sessions
424,Aspin,15,Off Leash Sit Stay,4.6,Advanced,Focused but Distractible,Medium Sessions
425,Doberman Pinscher,3,Shake Hands,5,Basic,Confident Learner,Multiple Short Sessions per Day
426,Pomeranian,20,On and Off Sight Stay,4.2,Advanced,Working on Tricks,Multiple Short Sessions per Day
427,German Shepherd,10,Off Leash Down,3.1,Advanced,Very Responsive,Multiple Short Sessions per Day
428,Shih Tzu,19,Off Leash Commands,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
429,Dalmatian,6,Off Leash Commands,4,Intermediate,Focused but Distractible,Long Sessions
430,German Shepherd,18,Loose Leash Heeling,2,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
431,Shih Tzu,21,Watch Me,3,Advanced,Very Responsive,Multiple Short Sessions per Day
432,Labrador Retriever,16,Long Stay Off Leash,3,Advanced,Working on Tricks,No strict preference
433,Labrador Retriever,8,Loose Leash Commands,3.6,Advanced,Focused but Distractible,Long Sessions
434,Beagle,10,Off Leash Down Stay,4.7,Advanced,Very Responsive,Multiple Short Sessions per Day
435,Labrador Retriever,20,Fetch,4.6,Advanced,Focused but Distractible,Long Sessions
436,Doberman Pinscher,19,Down Stay,4.3,Advanced,Focused but Distractible,Short Sessions
437,Beagle,18,Off Leash Sit,2.9,Basic,Confident Learner,Long Sessions
438,Rottweiler,19,Long Stay Off Leash,4,Advanced,Confident Learner,Medium Sessions
439,Pomeranian,19,Loose Leash Commands,3.7,Basic,Focused but Distractible,Multiple Short Sessions per Day
440,Golden Retriever,18,Off Leash Sit Stay,2.3,Advanced,Shy or Timid,Short Sessions
441,Bulldog,5,Off Leash Commands,5,Intermediate,Focused but Distractible,No strict preference
442,Shih Tzu,22,Off Leash Down,5,Advanced,Very Responsive to Treats,Medium Sessions
443,Doberman Pinscher,3,Off Leash Down,4.2,Advanced,Very Responsive,Medium Sessions
444,Doberman Pinscher,21,Sit,3.1,Advanced,Needs More Guidance,Medium Sessions
445,Pug,11,Off Leash Sit,3,Advanced,Very Responsive,Long Sessions
446,Beagle,20,Off Leash Sit,4,Intermediate,Very Responsive to Treats,Long Sessions
447,Bulldog,13,Sit,2,Basic,Shy or Timid,Multiple Short Sessions per Day
448,Doberman Pinscher,19,Fetch,3,Advanced,Working on Tricks,Medium Sessions
449,Dalmatian,15,Off Leash Down Stay,3,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
450,Labrador Retriever,12,Play Dead,3.6,Advanced,Working on Tricks,Long Sessions
451,Chihuahua,6,Off Leash Sit,4.7,Intermediate,Focused but Distractible,No strict preference
452,Dalmatian,21,Heel,4.6,Basic,Confident Learner,No strict preference
453,Pomeranian,11,On and Off Sight Stay,2,Advanced,Shy or Timid,Multiple Short Sessions per Day
454,Aspin,21,Sit,3,Advanced,Confident Learner,No strict preference
455,Pug,12,Off Leash Sit Stay,3,Intermediate,Focused but Distractible,Long Sessions
456,Labrador Retriever,4,Shake Hands,3.6,Advanced,Very Responsive,No strict preference
457,German Shepherd,23,Long Stay Off Leash,4.7,Advanced,Very Responsive,No strict preference
458,Beagle,14,Sit Stay,4.3,Advanced,Working on Tricks,Multiple Short Sessions per Day
459,Chihuahua,7,Long Stay Off Leash,2.9,Advanced,Confident Learner,Medium Sessions
460,Labrador Retriever,17,Off Leash Down Stay,4,Basic,Working on Tricks,No strict preference
461,Golden Retriever,20,Off Leash Sit,3.7,Advanced,Shy or Timid,Multiple Short Sessions per Day
462,Pomeranian,15,Roll Over,2.3,Basic,Needs More Guidance,Multiple Short Sessions per Day
463,Chihuahua,17,Loose Leash Walking,5,Advanced,Working on Tricks,Medium Sessions
464,Rottweiler,6,Long Stay Off Leash,5,Intermediate,Confident Learner,Long Sessions
465,German Shepherd,18,On and Off Sight Stay,4.2,Advanced,Very Responsive to Treats,Long Sessions
466,Aspin,10,Off Leash Down Stay,3.1,Basic,Focused but Distractible,Long Sessions
467,Golden Retriever,17,Off Leash Sit,3,Advanced,Focused but Distractible,Medium Sessions
468,Beagle,6,Off Leash Down Stay,4,Advanced,Confident Learner,Short Sessions
469,Pug,15,Off Leash Sit Stay,2,Advanced,Confident Learner,No strict preference
470,Pomeranian,3,Heel,3,Intermediate,Very Responsive to Treats,No strict preference
471,Aspin,20,Off Leash Sit Stay,3,Intermediate,Confident Learner,Long Sessions
472,Doberman Pinscher,10,Down Stay,3.6,Advanced,Needs More Guidance,Short Sessions
473,Pomeranian,19,Off Leash Sit Stay,4.7,Advanced,Working on Tricks,Short Sessions
474,German Shepherd,6,Shake Hands,4.6,Advanced,Shy or Timid,Short Sessions
475,Shih Tzu,18,On and Off Sight Stay,4,Advanced,Very Responsive,Short Sessions
476,Dalmatian,21,Off Leash Down,2,Advanced,Very Responsive,Long Sessions
477,German Shepherd,16,Off Leash Commands,3,Advanced,Shy or Timid,Short Sessions
478,Shih Tzu,8,Off Leash Commands,3,Basic,Focused but Distractible,No strict preference
479,Labrador Retriever,10,Loose Leash Heeling,3.6,Advanced,Focused but Distractible,Short Sessions
480,Labrador Retriever,20,Watch Me,4.7,Basic,Needs More Guidance,Multiple Short Sessions per Day
481,Beagle,19,Long Stay Off Leash,4.6,Advanced,Quick Learner,Short Sessions
482,Labrador Retriever,18,Loose Leash Commands,1,Intermediate,Quick Learner,Short Sessions
483,Doberman Pinscher,19,Off Leash Down Stay,4,Advanced,Very Responsive,Medium Sessions
484,Beagle,19,Fetch,5,Basic,Quick Learner,Multiple Short Sessions per Day
485,Rottweiler,18,Down Stay,4,Advanced,Working on Tricks,Long Sessions
486,Pomeranian,5,Off Leash Sit,4,Basic,Confident Learner,Medium Sessions
487,Golden Retriever,22,Long Stay Off Leash,5,Basic,Quick Learner,No strict preference
488,Bulldog,3,Loose Leash Commands,3,Advanced,Needs More Guidance,No strict preference
489,Shih Tzu,21,Off Leash Sit Stay,1,Basic,Confident Learner,No strict preference
490,Doberman Pinscher,11,Off Leash Commands,4,Advanced,Focused but Distractible,No strict preference
491,Doberman Pinscher,20,Off Leash Down,3,Intermediate,Confident Learner,Multiple Short Sessions per Day
492,Pug,13,Off Leash Down,3,Advanced,Working on Tricks,Medium Sessions
493,Beagle,19,Sit,4,Basic,Very Responsive,Long Sessions
494,Bulldog,15,Off Leash Sit,1,Advanced,Working on Tricks,Multiple Short Sessions per Day
495,Doberman Pinscher,12,Off Leash Sit,4.3,Advanced,Focused but Distractible,Medium Sessions
496,Dalmatian,6,Sit,2.9,Advanced,Focused but Distractible,Long Sessions
497,Labrador Retriever,21,Fetch,4,Intermediate,Very Responsive,Long Sessions
498,Chihuahua,11,Off Leash Down Stay,3.7,Intermediate,Working on Tricks,Short Sessions
499,Dalmatian,21,Play Dead,2.3,Advanced,Focused but Distractible,No strict preference
500,Pomeranian,12,Off Leash Sit,5,Advanced,Very Responsive,Medium Sessions
501,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
502,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
503,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
504,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
505,Shih Tzu,18,Long Stay Off Leash,4,Basic,Needs More Guidance,Multiple Short Sessions per Day
506,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
507,Shih Tzu,17,Off Leash Down Stay,3,Basic,Quick Learner,Medium Sessions
508,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
509,Pomeranian,15,Off Leash Down Stay,4,Intermediate,Quick Learner,Multiple Short Sessions per Day
510,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
511,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
512,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
513,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
514,Siberian Husky,6,Off Leash Sit Stay,2.9,Intermediate,Confident Learner,Multiple Short Sessions per Day
515,Bulldog,20,Off Leash Down Stay,5,Basic,Working on Tricks,Long Sessions
516,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
517,German Shepherd,17,Roll Over,3.1,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
518,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
519,Shih Tzu,18,Long Stay Off Leash,4,Intermediate,Needs More Guidance,Multiple Short Sessions per Day
520,Golden Retriever,10,On and Off Sight Stay,2,Basic,Quick Learner,Medium Sessions
521,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
522,Aspin,15,Off Leash Sit,4.2,Basic,Focused but Distractible,Medium Sessions
523,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
524,Pug,6,Loose Leash Walking,2,Intermediate,Focused but Distractible,Short Sessions
525,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
526,Golden Retriever,10,On and Off Sight Stay,2,Basic,Quick Learner,Medium Sessions
527,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
528,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
529,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
530,German Shepherd,3,Off Leash Sit Stay,3,Intermediate,Working on Tricks,Multiple Short Sessions per Day
531,Pomeranian,20,Heel,4,Intermediate,Confident Learner,Multiple Short Sessions per Day
532,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
533,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
534,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
535,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
536,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
537,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
538,Golden Retriever,10,On and Off Sight Stay,2,Basic,Quick Learner,Medium Sessions
539,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
540,Labrador Retriever,6,Off Leash Sit,2,Basic,Very Responsive,Medium Sessions
541,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
542,German Shepherd,3,Off Leash Sit Stay,3,Intermediate,Working on Tricks,Multiple Short Sessions per Day
543,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
544,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
545,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
546,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
547,Beagle,18,Shake Hands,4,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
548,Golden Retriever,21,On and Off Sight Stay,3.7,Basic,Confident Learner,No strict preference
549,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
550,Aspin,15,Off Leash Sit,4.2,Intermediate,Focused but Distractible,Medium Sessions
551,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
552,Pug,6,Loose Leash Walking,2,Intermediate,Focused but Distractible,Short Sessions
553,Shih Tzu,18,Long Stay Off Leash,4,Basic,Needs More Guidance,Multiple Short Sessions per Day
554,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
555,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
556,Labrador Retriever,6,Off Leash Sit,2,Intermediate,Very Responsive,Medium Sessions
557,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
558,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
559,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
560,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
561,Aspin,19,Down Stay,4.3,Basic,Needs More Guidance,Long Sessions
562,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
563,Bulldog,20,Off Leash Down Stay,5,Intermediate,Working on Tricks,Long Sessions
564,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
565,German Shepherd,17,Roll Over,3.1,Basic,Focused but Distractible,Multiple Short Sessions per Day
566,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
567,Shih Tzu,18,Long Stay Off Leash,4,Basic,Needs More Guidance,Multiple Short Sessions per Day
568,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
569,Shih Tzu,17,Off Leash Down Stay,3,Intermediate,Quick Learner,Medium Sessions
570,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
571,Pomeranian,15,Off Leash Down Stay,4,Basic,Quick Learner,Multiple Short Sessions per Day
572,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
573,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
574,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
575,Aspin,19,Down Stay,4.3,Intermediate,Needs More Guidance,Long Sessions
576,Siberian Husky,6,Off Leash Sit Stay,2.9,Intermediate,Confident Learner,Multiple Short Sessions per Day
577,Beagle,18,Shake Hands,4,Advanced,Focused but Distractible,Multiple Short Sessions per Day
578,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
579,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
580,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
581,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
582,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
583,Golden Retriever,10,On and Off Sight Stay,2,Basic,Quick Learner,Medium Sessions
584,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
585,Labrador Retriever,6,Off Leash Sit,2,Basic,Very Responsive,Medium Sessions
586,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
587,German Shepherd,3,Off Leash Sit Stay,3,Intermediate,Working on Tricks,Multiple Short Sessions per Day
588,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
589,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
590,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
591,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
592,Aspin,15,Off Leash Sit,4.2,Intermediate,Focused but Distractible,Medium Sessions
593,German Shepherd,17,Roll Over,3.1,Basic,Focused but Distractible,Multiple Short Sessions per Day
594,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
595,Shih Tzu,18,Long Stay Off Leash,4,Intermediate,Needs More Guidance,Multiple Short Sessions per Day
596,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
597,Shih Tzu,17,Off Leash Down Stay,3,Intermediate,Quick Learner,Medium Sessions
598,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
599,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
600,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
601,Pomeranian,20,Heel,4,Basic,Confident Learner,Multiple Short Sessions per Day
602,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
603,Aspin,19,Down Stay,4.3,Intermediate,Needs More Guidance,Long Sessions
604,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
605,Beagle,18,Shake Hands,4,Basic,Focused but Distractible,Multiple Short Sessions per Day
606,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
607,Aspin,15,Off Leash Sit,4.2,Basic,Focused but Distractible,Medium Sessions
608,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
609,Pug,6,Loose Leash Walking,2,Intermediate,Focused but Distractible,Short Sessions
610,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
611,Golden Retriever,10,On and Off Sight Stay,2,Basic,Quick Learner,Medium Sessions
612,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
613,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
614,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
615,German Shepherd,17,Roll Over,3.1,Basic,Focused but Distractible,Multiple Short Sessions per Day
616,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
617,Aspin,15,Off Leash Sit,4.2,Intermediate,Focused but Distractible,Medium Sessions
618,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
619,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
620,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
